id,bin,area_km2,harbors,overlaps,kcal_all,kcal_cerleg,kcal_bantub,kcal_density,pop_1500,cities_1500,pop_1700,cities_1700,pop_1800,cities_1800,origin_lon,origin_lat,rf_pred_1800,rf_resid_1800
PP-144,0_0_0,260,0,1,32668484608,32668484608,26160949248,125.7,0,0,0,0,0,0,22.78821,-1.60578,0,-0.1
PS-142,0_0_0,15973,0,29,3770364226048,3770052704768,2542472436288,236.1,0,0,0,0,0,0,24.33081,-0.60584,1,-0.18
PT-140,0_0_0,16551,0,30,3551673498240,3551361976960,2285516844224,214.6,0,0,0,0,0,0,24.67217,0.62485,1,-0.18
PT-139,0_0_0,14097,0,27,2999049662976,2999049662976,1900771906040,212.7,0,0,0,0,0,0,24.53742,1.25367,1,-0.18
PO-143,0_0_0,299,0,1,65941940224,65941940224,52500892672,220.8,0,0,0,0,0,0,22.32057,-1.33578,0,-0.1
PU-143,0_0_0,14620,0,27,3696589238016,3696277716736,2556268897600,252.8,0,0,0,0,0,0,25.00454,-1.34246,1,-0.31
PO-140,0_0_0,223,0,1,39768944640,39768944640,31930125312,178.4,0,0,0,0,0,0,22.32057,0.28417,0,-0.1
PN-144,0_0_0,239,0,1,50658440192,50658440192,39255191552,212.2,0,0,0,0,0,0,21.85293,-1.60578,0,-0.1
PO-141,0_0_0,328,0,1,65177763840,65177763840,52955267072,198.9,0,0,0,0,0,0,22.32057,-0.25582,0,-0.1
PU-140,0_0_0,14568,0,28,3091337530112,3091337530112,1981623007040,212.2,0,0,0,0,0,0,25.12132,0.50807,1,-0.18
PT-143,0_0_0,15256,0,27,3774913790208,3774602268928,2595978462784,247.4,0,0,0,0,0,0,24.7081,-1.01907,1,-0.28
OV-84,0_0_0,19192,0,7,3477598976,3477598976,0,0.2,0,0,0,0,0,0,13.43541,30.79329,0,-0.01
OX-86,0_0_0,20479,0,7,0,0,0,0.0,0,0,0,0,0,0,14.37069,29.71332,0,-0.0
OW-85,0_0_0,21852,0,7,0,0,0,0.0,0,0,0,0,0,0,13.90305,29.98331,0,-0.01
OX-87,0_0_0,19878,0,7,0,0,0,0.0,0,0,0,0,0,0,14.37069,29.17334,0,-0.0
OW-87,0_0_0,20841,0,7,0,0,0,0.0,0,0,0,0,0,0,13.90305,28.90335,0,-0.0
OY-88,0_0_0,20489,0,7,0,0,0,0.0,0,0,0,0,0,0,14.83833,28.36336,0,-0.0
OW-86,0_0_0,20546,0,7,0,0,0,0.0,0,0,0,0,0,0,13.90305,29.44333,0,-0.0
OV-85,0_0_0,21713,0,7,0,0,0,0.0,0,0,0,0,0,0,13.43541,30.25331,0,-0.01
OX-85,0_0_0,21353,0,7,9031637184,9031637184,0,0.4,0,0,0,0,0,0,14.37069,30.25331,0,-0.01
OY-87,0_0_0,21958,0,7,0,0,0,0.0,0,0,0,0,0,0,14.83833,28.90335,0,-0.01
OW-88,0_0_0,23221,0,7,0,0,0,0.0,0,0,0,0,0,0,13.90305,28.36336,0,-0.02
OV-87,0_0_0,21162,0,7,0,0,0,0.0,0,0,0,0,0,0,13.43541,29.17334,0,-0.0
OY-84,0_0_0,19741,0,7,263745176064,261973201984,87584101888,13.4,0,0,0,0,0,0,14.83833,30.5233,0,-0.05
OX-84,0_0_0,20759,0,7,143885312608,142319786400,18243819520,6.9,0,0,0,0,0,0,14.37069,30.79329,0,-0.04
OX-88,0_0_0,20609,0,7,0,0,0,0.0,0,0,0,0,0,0,14.37069,28.63335,0,-0.0
OV-86,0_0_0,21456,0,7,0,0,0,0.0,0,0,0,0,0,0,13.43541,29.71332,0,-0.01
OY-85,0_0_0,20487,0,7,27683826176,27683826176,0,1.4,0,0,0,0,0,0,14.83833,29.98331,0,-0.02
OW-84,0_0_0,19191,0,7,0,0,0,0.0,0,0,0,0,0,0,13.90305,30.5233,0,-0.0
OY-86,0_0_0,21203,0,7,0,0,0,0.0,0,0,0,0,0,0,14.83833,29.44333,0,-0.0
OZ-86,0_0_0,21472,0,7,27208161360,27208161360,0,1.3,0,0,0,0,0,0,15.30597,29.71332,0,-0.02
PO-136,0_0_0,18864,0,32,3052040782912,3052040782912,1924798670160,161.8,0,0,0,0,0,0,22.30061,2.18792,1,-0.17
PN-137,0_0_0,19253,0,36,2893917331456,2893917331456,1823404342320,150.3,0,0,0,0,0,0,21.86942,2.16995,0,-0.12
PL-140,0_0_0,260,0,1,21237698560,21237698560,14994354176,81.8,0,0,0,0,0,0,20.91765,0.55416,0,-0.11
PO-137,0_0_0,18835,0,32,3120647681088,3120647681088,1965031455824,165.7,0,0,0,0,0,0,22.34553,2.16097,1,-0.17
